uniprot,gene_symbol,status,pdb_path,pae_path,sha256_pdb,retrieved_at,notes
Q96PY6,NEK1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96PY6/Q96PY6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96PY6/Q96PY6_pae.json,499ee42ea65cbc3d18498bc7e25a6840ee31fad91460e6008a3a9c862513198a,2026-02-10 03:51:00,
Q86SG6,NEK8,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q86SG6/Q86SG6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q86SG6/Q86SG6_pae.json,68b1d76a0ea47750f7c390c8452d80c46bba365c6678433ca8dc61cc8ce9aad1,2026-02-10 03:51:01,
P10451,SPP1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P10451/P10451.pdb,research/alphafold_countercurvature/data/raw/afdb/P10451/P10451_pae.json,9f1178ebf8885d09d76d46f02b8ebb83abf39a16a71e3c35da2c1a179a2904c4,2026-02-10 03:51:01,
P27986,PIK3R1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P27986/P27986.pdb,research/alphafold_countercurvature/data/raw/afdb/P27986/P27986_pae.json,e6061f359fa9f59a0b025059090acce33edf18db547256f9b1fe9cdfa909c054,2026-02-10 03:51:16,
P49023,PXN,downloaded,research/alphafold_countercurvature/data/raw/afdb/P49023/P49023.pdb,research/alphafold_countercurvature/data/raw/afdb/P49023/P49023_pae.json,38b3a7ddbf601d248bd66eb0ed4cd8219dd6f460f86e0197b15bea6b28947cb2,2026-02-10 03:51:17,
Q9UHC3,ASIC3,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9UHC3/Q9UHC3.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9UHC3/Q9UHC3_pae.json,c82072220a50f5537d08787490ccc6a6fbdcf536aec8ba4f89e5ca401f0230cd,2026-02-10 03:51:21,
Q7Z3G6,PRICKLE2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q7Z3G6/Q7Z3G6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q7Z3G6/Q7Z3G6_pae.json,8ec36d5cf6d90aeec5b98886c3d6367e9d2e9023ee6f80cd2e1064300b881086,2026-02-10 03:51:24,
Q96D98,UNCX,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96D98/Q96D98.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96D98/Q96D98_pae.json,35753fc13500ce790bb64c206dcf5171eb696576b582374c8f286081098b50cd,2026-02-10 03:51:24,
Q9BXP8,PAPPA2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9BXP8/Q9BXP8.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9BXP8/Q9BXP8_pae.json,72092baf1b6e0854a65f22768c52d06b0701b57280be0eea47f3f9889bd01b12,2026-02-10 03:51:33,
P12830,CDH1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P12830/P12830.pdb,research/alphafold_countercurvature/data/raw/afdb/P12830/P12830_pae.json,8592035e9202ec7b2fc30e0d9698811340f0ecb70c5457513d168281738519d0,2026-02-10 03:51:50,
O00744,WNT10B,downloaded,research/alphafold_countercurvature/data/raw/afdb/O00744/O00744.pdb,research/alphafold_countercurvature/data/raw/afdb/O00744/O00744_pae.json,968fa4008b6678ca285236882c2baae8f01eb4597cb8835610baf972f28d6400,2026-02-10 03:51:55,
P16615,ATP2A2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P16615/P16615.pdb,research/alphafold_countercurvature/data/raw/afdb/P16615/P16615_pae.json,ccd42a91b5ac85bb549437ecf02ce2a5e18142fe8d08c8680c2ec719be749a24,2026-02-10 03:51:57,
